licenses,parsed_address,similarity score,permit,apn,many_to_many
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-02687l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-03156l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-00263l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-01652l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-03553l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-03926l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-02952l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-03517l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-06497l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-01108l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-06626l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-01525l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-01391l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-04280l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-04213l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-01165l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-04919l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-01728l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-07336l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-01588l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-05674l,4155811311,both
4767 ocean blvd #1011 92109,4667 ocean blvd #111 92109,94,str-04086l,4155811311,both
3519 30th st 92104,3519 30th st 92104,100,str-04577l,4534130400,both
4111 bayard st 92109,4111 bayard st 92109,100,str-03178l,4232230400,both
1724 ocean front st #4 92107,1724 ocean front st #04 92107,98,str-02347l,4480611904,both
1724 ocean front st #4 92107,1724 ocean front st #04 92107,98,str-03183l,4480611904,both
1724 ocean front st #4 92107,1724 ocean front st #04 92107,98,str-01291l,4480611904,both
1724 ocean front st #4 92107,1724 ocean front st #04 92107,98,str-03161l,4480611904,both
1241 prospect st #6 92037,1241 prospect st 92037,100,str-01785l,3501000400,both
1241 prospect st #6 92037,1241 prospect st 92037,100,str-01786l,3501000400,both
1241 prospect st #6 92037,1241 prospect st 92037,100,str-01787l,3501000400,both
1241 prospect st #6 92037,1241 prospect st 92037,100,str-01783l,3501000400,both
1241 prospect st #6 92037,1241 prospect st 92037,100,str-01788l,3501000400,both
1241 prospect st #6 92037,1241 prospect st 92037,100,str-01789l,3501000400,both
1241 prospect st #6 92037,1241 prospect st 92037,100,str-01784l,3501000400,both
8020 el paseo grande 92037,8020 el paseo grande 92037,100,str-01823l,3463621200,both
8020 el paseo grande 92037,8020 el paseo grande 92037,100,str-01732l,3463621200,both
4129 front st #c 92103,4129 front st 92103,100,str-02135l,4445040400,both
4129 front st #c 92103,4129 front st 92103,100,str-00375l,4445040400,both
3228 33rd st 92104,3228 33rd st 92104,100,str-02246l,4535722500,both
3659 ocean front walk 92109,3659 ocean front walk 92109,100,str-00339l,4236011505,both
3659 ocean front walk 92109,3659 ocean front walk 92109,100,str-01987l,4236011505,both
3659 ocean front walk 92109,3659 ocean front walk 92109,100,str-02377l,4236011505,both
2630 6th av #2 92103,2630 6th ave 92103,92,str-02016l,4527140700,both
2630 6th av #2 92103,2630 6th ave 92103,92,str-01480l,4527140700,both
6222 danbury wy 92120,6222 danbury way 92120,98,str-00363l,4611011200,both
4770 del mar av 92107,4768 del mar ave 92107,88,str-04047l,4483710500,both
4630 pescadero av 92107,4630 pescadero ave 92107,98,str-02766l,4484711000,both
4630 pescadero av 92107,4630 pescadero ave 92107,98,str-07881l,4484711000,both
911 diamond st 92109,1911 diamond st 92109,98,str-00436l,4165312210,both
2692 c st #1 92102,c st 92102,100,str-06649l,5395630100,both
3495 oceanfront walk 92109,3405 ocean front walk #c 92109,76,str-03738l,4236250403,both
3495 oceanfront walk 92109,3405 ocean front walk #c 92109,76,str-00845l,4236250403,both
3495 oceanfront walk 92109,3405 ocean front walk #c 92109,76,str-00704l,4236250403,both
748 zanzibar court 92109,748 zanzibar court 92109,100,str-00673l,4233111100,both
2727 ariane dr #167 92117,2727 ariane dr #167 92117,100,str-01753l,3596300303,both
3511 tony dr 92122,3511 tony dr 92122,100,str-05336l,3485102400,both
1460 oliver av 92109,1460 oliver ave 92109,98,str-03958l,4232811600,both
4754 bancroft st 92116,4754 bancroft st 92116,100,str-02393l,4393822700,both
5255 35th st 92116,5255 35th st 92116,100,str-02446l,4395500500,both
734 jersey court 92109,740 jersey court 92109,95,str-01678l,4236430700,both
3633 bayside 92109,3633 bayside walk 92109,100,str-04524l,4236031200,both
3633 bayside 92109,3633 bayside walk 92109,100,str-04365l,4236031200,both
3641 marlborough av 92105,3641 marlborough ave 92105,98,str-05820l,4541721000,both
1328 thomas av 92109,1328 thomas ave 92109,98,str-00911l,4231722700,both
555 20th st 92102,555 20th st 92102,100,str-01542l,5352140500,both
555 20th st 92102,555 20th st 92102,100,str-05769l,5352140500,both
6701 vista del mar av #b 92037,6701 vista del mar ave #b 92037,98,str-04569l,3513833302,both
6701 vista del mar av #b 92037,6701 vista del mar ave #b 92037,98,str-04232l,3513833302,both
5048 voltaire st 92107,5048 voltaire st 92107,100,str-04419l,4481332200,both
5048 voltaire st 92107,5048 voltaire st 92107,100,str-04417l,4481332200,both
5048 voltaire st 92107,5048 voltaire st 92107,100,str-04427l,4481332200,both
3115 jemez av 92117,3115 jemez dr 92117,91,str-02021l,3591710200,both
3115 jemez av 92117,3115 jemez dr 92117,91,str-06957l,3591710200,both
2169 brant st 92101,2167 brant st 92101,95,str-04611l,5331610100,both
824 cohasset court 92109,824 cohasset court 92109,100,str-04983l,4237170600,both
2658 e st 92102,2658 e st 92102,100,str-05278l,5344114300,both
2658 e st 92102,2658 e st 92102,100,str-05266l,5344114300,both
5460 linda rosa av san diego 92037,5460 linda rosa ave 92037,91,str-01609l,3576322500,both
5072 providence rd 92117,5028 arvinels ave 92117,68,str-07859l,3554710300,both
4020 gresham st 92109,4020 gresham st 92109,100,str-01195l,4233811100,both
3786 se albatross st 92103,3786 albatross st 92103,100,str-05343l,4520135500,both
4316 arizona st st 92104,4316 arizona st 92104,100,str-01322l,4453421400,both
1917 1917 lincoln av 92104,1919 lincoln ave 92104,93,str-02714l,4456710200,both
1917 1917 lincoln av 92104,1919 lincoln ave 92104,93,str-02712l,4456710200,both
7337 olivetas av 92037,7337 olivetas ave 92037,98,str-00601l,3510140100,both
5311 soledad mountain rd 92109,5311 soledad mountain rd 92109,100,str-05530l,4177300700,both
5361 van nuys court 92109,5361 van nuys court 92109,100,str-05543l,4151212100,both
3261 ocean front walk #2a 92109,3261 ocean front walk 92109,100,str-04619l,4236610200,both
3261 ocean front walk #2a 92109,3261 ocean front walk 92109,100,str-04616l,4236610200,both
3261 ocean front walk #2a 92109,3261 ocean front walk 92109,100,str-02297l,4236610200,both
3261 ocean front walk #2a 92109,3261 ocean front walk 92109,100,str-06467l,4236610200,both
3990 strandway 92109,3989 strandway 92109,95,str-04290l,4233110400,both
3990 strandway 92109,3989 strandway 92109,95,str-04319l,4233110400,both
3990 strandway 92109,3989 strandway 92109,95,str-04300l,4233110400,both
3990 strandway 92109,3989 strandway 92109,95,str-04349l,4233110400,both
